Extractor,PCA Components,Classifier,Best Parameters,Accuracy,Precision,Recall,F1-Score
DenseNet121,50,Logistic Regression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.9750,0.975,0.975,0.975
DenseNet121,50,MLP,"{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9000,0.9,0.9,0.9
DenseNet121,50,MLP2,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': [64], 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.9000,0.904040404040404,0.8999999999999999,0.899749373433584
DenseNet121,60,KNN,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.7375,0.7376485303314572,0.7375,0.7374589779653071
DenseNet121,60,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.9375,0.9377736085053159,0.9375,0.9374902328488826
DenseNet121,60,Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9000,0.9010025062656641,0.9,0.8999374609130707
DenseNet121,60,Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9375,0.9377736085053159,0.9375,0.9374902328488826
DenseNet121,60,MLP,"{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'invscaling', 'max_iter': 1000, 'solver': 'adam'}",0.9375,0.9377736085053159,0.9375,0.9374902328488826
DenseNet121,60,MLP2,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': [64, 32], 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'sgd'}",0.9750,0.975,0.975,0.975
DenseNet121,80,KNN,"{'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.7000,0.702020202020202,0.7,0.6992481203007519
DenseNet121,80,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9375,0.9377736085053159,0.9375,0.9374902328488826
DenseNet121,80,Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9125,0.9127579737335836,0.9125000000000001,0.9124863259884357
DenseNet121,80,Logistic Regression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.9750,0.975,0.975,0.975
DenseNet121,80,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'invscaling', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9125,0.914833438089252,0.9125,0.9123767798466593
DenseNet121,80,MLP2,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': [64], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}",0.9750,0.975,0.975,0.975
EfficientNetB0,30,KNN,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6250,0.6373626373626373,0.625,0.6163682864450128
EfficientNetB0,30,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7750,0.7933333333333333,0.775,0.7714285714285715
EfficientNetB0,30,Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7750,0.7864583333333333,0.775,0.7727272727272727
EfficientNetB0,30,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.8000,0.8125,0.8,0.797979797979798
EfficientNetB0,30,MLP,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}",0.7250,0.74,0.725,0.7206349206349206
EfficientNetB0,30,MLP2,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': [64], 'learning_rate': 'adaptive', 'max_iter': 200, 'solver': 'lbfgs'}",0.7250,0.74,0.725,0.7206349206349206
EfficientNetB0,50,KNN,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6750,0.6994301994301995,0.675,0.6647324306898775
EfficientNetB0,50,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.8000,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0,50,Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7000,0.7197802197802198,0.7,0.6930946291560103
EfficientNetB0,50,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0,50,MLP,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'lbfgs'}",0.8250,0.8258145363408521,0.825,0.8248905565978737
EfficientNetB0,50,MLP2,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': [64], 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'lbfgs'}",0.8125,0.8223726627981947,0.8125,0.8110533774208786
EfficientNetB0,60,KNN,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7500,0.7525252525252526,0.75,0.7493734335839599
EfficientNetB0,60,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0,60,Random Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8250,0.8385416666666667,0.825,0.8232323232323233
EfficientNetB0,60,Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.8625,0.8627267041901188,0.8625,0.8624785122675418
EfficientNetB0,60,MLP,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}",0.8000,0.803030303030303,0.8,0.7994987468671679
EfficientNetB0,60,MLP2,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': [64], 'learning_rate': 'invscaling', 'max_iter': 1000, 'solver': 'lbfgs'}",0.7875,0.7965828497743391,0.7875,0.7858604944103291
EfficientNetB0,80,KNN,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.7125,0.7298850574712643,0.7124999999999999,0.7069597069597069
EfficientNetB0,80,SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0,80,Random Forest,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7125,0.7192134107027723,0.7125,0.7102818453786806
EfficientNetB0,80,Logistic Regression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8375,0.839409176618479,0.8375,0.8372711625723674
EfficientNetB0,80,MLP,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': [128, 64, 32], 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}",0.7875,0.7920634920634921,0.7875,0.7866666666666666
EfficientNetB0,80,MLP2,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': [64], 'learning_rate': 'invscaling', 'max_iter': 500, 'solver': 'lbfgs'}",0.8500,0.8508771929824561,0.85,0.849906191369606
